cod_dep_sunat,desc_dep_sunat,cod_prov_sunat,desc_prov_sunat,cod_ubigeo_sunat,desc_ubigeo_sunat,
1,AMAZONAS,101,CHACHAPOYAS,10101,CHACHAPOYAS,
1,AMAZONAS,101,CHACHAPOYAS,10102,ASUNCION,
1,AMAZONAS,101,CHACHAPOYAS,10103,BALSAS,
1,AMAZONAS,101,CHACHAPOYAS,10104,CHETO,
1,AMAZONAS,101,CHACHAPOYAS,10105,CHILIQUIN,
1,AMAZONAS,101,CHACHAPOYAS,10106,CHUQUIBAMBA,
1,AMAZONAS,101,CHACHAPOYAS,10107,GRANADA,
1,AMAZONAS,101,CHACHAPOYAS,10108,HUANCAS,
1,AMAZONAS,101,CHACHAPOYAS,10109,LA JALCA,
1,AMAZONAS,101,CHACHAPOYAS,10110,LEIMEBAMBA,
1,AMAZONAS,101,CHACHAPOYAS,10111,LEVANTO,
1,AMAZONAS,101,CHACHAPOYAS,10112,MAGDALENA,
1,AMAZONAS,101,CHACHAPOYAS,10113,MARISCAL CASTILLA,
1,AMAZONAS,101,CHACHAPOYAS,10114,MOLINOPAMPA,
1,AMAZONAS,101,CHACHAPOYAS,10115,MONTEVIDEO,
1,AMAZONAS,101,CHACHAPOYAS,10116,OLLEROS,
1,AMAZONAS,101,CHACHAPOYAS,10117,QUINJALCA,
1,AMAZONAS,101,CHACHAPOYAS,10118,SAN FRANCISCO DE DAGUAS,
1,AMAZONAS,101,CHACHAPOYAS,10119,SAN ISIDRO DE MAINO,
1,AMAZONAS,101,CHACHAPOYAS,10120,SOLOCO,
1,AMAZONAS,101,CHACHAPOYAS,10121,SONCHE,
1,AMAZONAS,102,BAGUA,10201,BAGUA,
1,AMAZONAS,102,BAGUA,10202,ARAMANGO,
1,AMAZONAS,102,BAGUA,10203,COPALLIN,
1,AMAZONAS,102,BAGUA,10204,EL PARCO,
1,AMAZONAS,102,BAGUA,10205,IMAZA,
1,AMAZONAS,102,BAGUA,10206,LA PECA,
1,AMAZONAS,103,BONGARA,10301,JUMBILLA,
1,AMAZONAS,103,BONGARA,10302,CHISQUILLA,
1,AMAZONAS,103,BONGARA,10303,CHURUJA,
1,AMAZONAS,103,BONGARA,10304,COROSHA,
